market,fold,alpha,pot_xi,pot_sigma,pot_var,pot_violation_rate,pot_expected_rate,gev_shape,gev_location,gev_scale,gev_var,gev_violation_rate
IBEX,0,0.95,-0.05961434010860267,0.01281655742296771,0.02838606496864954,0.011764705882352941,0.050000000000000044,0.02179061848808573,0.012268426789511044,0.011131485126670584,0.04642452060934794,0.0
IBEX,0,0.99,-0.05961434010860267,0.01281655742296771,0.04805211380602545,0.0,0.010000000000000009,0.02179061848808573,0.012268426789511044,0.011131485126670584,0.0661293386661407,0.0
IBEX,1,0.95,-0.050115836735407204,0.010289840698719684,0.024341183776508304,0.023529411764705882,0.050000000000000044,0.7775765150968292,0.009119480060306934,0.013955058540282714,0.17189632065517305,0.0
IBEX,1,0.99,-0.050115836735407204,0.010289840698719684,0.03922154235055505,0.0,0.010000000000000009,0.7775765150968292,0.009119480060306934,0.013955058540282714,0.6330410155901782,0.0
IBEX,2,0.95,-0.14391136238142022,0.010959656203823805,0.023329129027785743,0.023529411764705882,0.050000000000000044,0.7765583137973843,0.008747387354653247,0.01417506547036572,0.17375220168329025,0.0
IBEX,2,0.99,-0.14391136238142022,0.010959656203823805,0.03778277725019252,0.00784313725490196,0.010000000000000009,0.7765583137973843,0.008747387354653247,0.01417506547036572,0.6402855693919498,0.0
IBEX,3,0.95,-0.11767604449778057,0.009171306900128375,0.022756219830309777,0.03488372093023256,0.050000000000000044,0.7706582954291412,0.009394484122914371,0.013595076722424812,0.16578289654055411,0.0
IBEX,3,0.99,-0.11767604449778057,0.009171306900128375,0.035673318316098726,0.011627906976744186,0.010000000000000009,0.7706582954291412,0.009394484122914371,0.013595076722424812,0.602915023338858,0.0
IBEX,4,0.95,0.2870713168297291,0.006237297033310355,0.025559435077949597,0.00392156862745098,0.050000000000000044,0.0614099254797284,0.00798003777012422,0.008275976147753293,0.03494585812040491,0.0
IBEX,4,0.99,0.2870713168297291,0.006237297033310355,0.03375507252871232,0.0,0.010000000000000009,0.0614099254797284,0.00798003777012422,0.008275976147753293,0.05197239686692899,0.0
IBEX,5,0.95,0.2982286726997553,0.005653388559877815,0.02048356353557286,0.027559055118110236,0.050000000000000044,0.7630709309456079,0.008002536410632005,0.012641607464735418,0.1512269090201629,0.0
IBEX,5,0.99,0.2982286726997553,0.005653388559877815,0.030335571512862536,0.0,0.010000000000000009,0.7630709309456079,0.008002536410632005,0.012641607464735418,0.5456980585949929,0.0
IBEX,6,0.95,0.303415655638259,0.005577168277655038,0.019628726588490013,0.015625,0.050000000000000044,0.08418939450946436,0.007011924350817449,0.006553250816826681,0.029126179584038563,0.0
IBEX,6,0.99,0.303415655638259,0.005577168277655038,0.029392520797218793,0.0,0.010000000000000009,0.08418939450946436,0.007011924350817449,0.006553250816826681,0.04382796378680593,0.0
IBEX,7,0.95,0.32986599198416366,0.004927925131987018,0.018655536116866628,0.1171875,0.050000000000000044,0.09177693234059162,0.006424226209873359,0.006155428764328322,0.02744169787744019,0.0625
IBEX,7,0.99,0.32986599198416366,0.004927925131987018,0.027450355811153994,0.0625,0.010000000000000009,0.09177693234059162,0.006424226209873359,0.006155428764328322,0.04165544963974977,0.015625
IBEX,8,0.95,0.3147888567751021,0.006343786070576019,0.0181202112582376,0.0390625,0.050000000000000044,0.16554041877976655,0.006564857134707124,0.006865073660286922,0.03290176015960122,0.00390625
IBEX,8,0.99,0.3147888567751021,0.006343786070576019,0.03803848994764904,0.00390625,0.010000000000000009,0.16554041877976655,0.006564857134707124,0.006865073660286922,0.05390400297436755,0.0
IBEX,9,0.95,0.33758807118777256,0.006529548587382346,0.016848950919327296,0.07751937984496124,0.050000000000000044,0.12569785091520108,0.006434806740634676,0.006783027859997301,0.03085782274145584,0.015503875968992248
IBEX,9,0.99,0.33758807118777256,0.006529548587382346,0.033875804243076284,0.007751937984496124,0.010000000000000009,0.12569785091520108,0.006434806740634676,0.006783027859997301,0.04868121550911224,0.0
IBEX,10,0.95,0.3587168867452959,0.006572969377526291,0.019574867965066568,0.01568627450980392,0.050000000000000044,0.1134191671694771,0.007293174843430092,0.007550115636184265,0.033958211857991964,0.00392156862745098
IBEX,10,0.99,0.3587168867452959,0.006572969377526291,0.03389070813637067,0.00392156862745098,0.010000000000000009,0.1134191671694771,0.007293174843430092,0.007550115636184265,0.05289013106151634,0.0
IBEX,11,0.95,0.33990248930433153,0.007913870831884317,0.020628748452162563,0.0078125,0.050000000000000044,0.19019359053781637,0.006780437749369891,0.00681572925133052,0.03399027377842431,0.0
IBEX,11,0.99,0.33990248930433153,0.007913870831884317,0.03483030705388415,0.0,0.010000000000000009,0.19019359053781637,0.006780437749369891,0.00681572925133052,0.05690320618587632,0.0
